index,id,processed_tweets,scale
rain,1.05E+18,sweating buckets the sun is ruthless i dont smell rain yet hike on   mount faber park https www instagram compbonabzinpooewidootdqboh51tbildfh5mk80 utmsource igtwittershareigshid tyryp3if4vmq,point
oak,1.05E+18,9 gold awards winning wine to wash down my  and whatever  nice smell of burnt oak barrels looking forward to curries and tandooris in the next blink of an https www instagram compbobkniibwxxodwk80bcfdx lsbxpy18snv2rhy0 utmsource igtwittershareigshid p1wn0v7dvec5,
,1.04E+18,"kopisix eggssmell and see onlyprawn pork ribs meetaiwanese durian mooncakefried carrot cakeminced pork porridgewhat a way to start the day   jurong singapore https www instagram compboilbmzbbgf utmsource igtwittershareigshid 1jjz7643iea7e",
chlorine,1.04E+18,"smell of chlorine is heavy at the fish pool no wonder its empty   fish pool https www instagram compbnxzlqhqey utmsource igtwittershareigshid 1tba95n5g323r",point
books,1.04E+18,e books makes you forgot how real books smell  wardah books https www instagram compbnn4mt7anioo8l2naoqgfku4lpfhvwqytnmmsw0 utmsource igtwittershareigshid 17mn04u170jy3,point
cinnamon,1.04E+18,ok i bought it again tried new flavour speculate latte got cinnamon smell  starbucks starbucks in singapore https www swarmapp comci3tvpspfedh pic twitter comww56basxfv,point
chicken,1.04E+18,mountain chicken smell four sea  kampong chicken eating house in singapore https www swarmapp comc7deiegq6ldp,point
roses,1.03E+18,we found love and happiness on mount faber taking time to smell the roses   mount faber park https www instagram compbmzzah4h6yn9sa7wkvhzlyfxcdypknpoe07l900 utmsource igtwittershareigshid hyby8t65z4ug,point
,1.02E+18,i just want to be with her all the time i want to hear about her day and tell her about mine i want to hold her hand and smell her hair but i dont want to be her stupid boyfriend  https www instagram compblijyzlhck  utmsource igtwittershareigshid foo2pk633nt2,
truffle,1.02E+18,"1st time trying popcorn on truffle oil the smell of truffle is overpowering   marina bay sands https www instagram compbllu08afwdg utmsource igtwittershareigshid txo7742j7vvp",point
alcohol,9.99E+17,rabs hangover  rabs alcohol smell hopefully time pass faster  singapore polytechnic sp in singapore sin https www swarmapp comc077drdc8do9,point
rain,9.80E+17,missed the smell of the rain    marina bay sands https www instagram compbg8zey8nyu11olhz r2bflg0zhm1tow9mq 6q0,point
waffles,9.71E+17,new in town and wake up to the smell of   waffles  wakey wakey https www instagram compbf 5lwun gu,point
mummy,9.69E+17,"i have the smell of mummy thanks to kayden dad  mummy being able to see my dear https www instagram compbfyat96jboq",
showered,9.63E+17,ive just been showered smell me  tierra vue https www instagram compbffsansd6ys,neighborhood
coffee,9.51E+17,she says good morning and smell the coffee  beast  butterflies https www instagram compbdtrkqdqep,point
milo,9.40E+17,the smell of hot milo face  home sweet home woodlands st13 https www instagram compbchkdvkh5ik7njjzmcklvaqyueu51wu8ymeae0,neighborhood
rooster,9.37E+17,the smell  morning rooster call reminded us that we were in singapores countryside  fun https www instagram compbcoq3zdfs8a,
xmas,9.35E+17,the smell of xmas  orchard road https www instagram compbb9jze0hki ,road
own,9.32E+17,when you are in love with your own smell  gillman barracks https www instagram compbbtpovjtnlhpwr1de93iy066b msj5urgylcq0,point
beans,8.90E+17,waking up to the smell of sumatra beans  jewel coffee https www instagram compbxcgxwha3l3,point
air,8.90E+17,can smell the salty air  labrador nature  coastal walk berlayer creek https www instagram compbxayzmpalkh,point
soup,8.88E+17,"its said that the minced pork noodle is nice  soup had burned smell  wanton https www instagram compbwzzvfnhcwk",point
sea,8.84E+17,smell the sea and feel the sky let your soul and spirit fly  van morisson  palawan beach https www instagram compbwunutifj5t,point
lunch,8.84E+17,because i buay tahan i smell like lunch  blk 38 upper boon keng road in geylang singapore https www swarmapp comc7w9cjbnbdrs,neighborhood
,8.76E+17,"do you smell that smells like my pink ic calling me   sembawang army camp https www instagram compbvftez jem",point
,8.76E+17,smell is to eat out  putian flavor https www swarmapp comcjhusyqhrvgt pic twitter comxhk1k7mfpy,point
lunch,8.68E+17,smell so good  lunch with boss and clients   hyang to gol korean restaurant in singapore https www swarmapp comckiov61cnxxw,point
,8.67E+17,when you smell something really bad but still wanna look cool lol   little india https www instagram compbuzgswpllku,PA
,8.58E+17,"bentenwebe heavier hold citrus smell 10sgd  php3506583013156 https www instagram compbtyrol9bmiy",
eel ,8.56E+17,queued for 45mins but the chargrilled eel smell worth the time  man man  japanese unagi restaurant https www swarmapp comcfipaxjzujbl,point
i,8.56E+17,i smell so goooood post gym   tampines true fitness https www instagram compbtlg0nggon2 mvqbbmg4mi0gqwr08xd19tyddc0,point
flower,8.48E+17,the kind of white flower you cant smell  marina bay sands https www instagram compbsx8snladw,point
,8.40E+17,the first condition of understanding a foreign country is to smell it rudyard kipling https www instagram compbrfwrncjvxe,
freedom,8.35E+17,i smell freedom  ngee ann polytechnic np in singapore https www swarmapp comc4yoeray4ddf,point
butter,8.33E+17,coz no one can resist the smell of butter  dona manis cake shop in singapore https www swarmapp comcaufluymhkmv,point
juboh,8.29E+17,rio only wants to smell juboh  grease monkey barber garage https www instagram compbqpnsygjl b,point
cocktail,8.26E+17,the process of choosing a cocktail involves the sense of smell and memories  tippling club https www instagram compbp5az dv ,point
rain,8.19E+17,the smell of rain  coconut  pandan  fried stuff comfort good to be home   https www instagram compbpflbnodm9 ,point
weekend,8.15E+17,"long weekend i can smell you already   https www instagram compboodrnuf0dt",
,8.14E+17,mmm smell nice  at little india  https path comp33ypzr,PA
salt,8.13E+17,the smell of salt and sand   tanjong https www instagram compbobv5zqdxp7,PA
here,8.05E+17,come here smell smoke for 1 hour  woodlands checkpoint causeway in singapore w  https www swarmapp comchihezyasgoc,PA
airports,8.01E+17,"i miss the smell of airports those sleepless nights long https www instagram compbnkgudsdb38gajgz3e2npsrx2kt1jitaibnfsw0",point
amazing,7.97E+17,woo hoo this smell amazing  chir chir https www instagram compbmtguefjgdr,point
,7.96E+17,finally i smell home after 8 days  pulau tekong https www instagram compbmjhlzvbhlm,
india,7.96E+17,reunited with cousin jannelle marie lee aka oinky lee colors and smell of little india on a https www instagram compbmjx5qsgyx2,PA
fucking,7.94E+17,3 hours away from home i can fucking smell it  woodlands checkpoint causeway in singapore https www swarmapp comccobbcj6fuio,point
noodles,7.94E+17,father and son love the tenderness and no heavy smell  tanjong rhu prawn noodles https www swarmapp comchcallkdh540 pic twitter comjhzs1p01py,point
fishy,7.93E+17,the fishy smell here is so strong urgh  bendemeer market  food centre in singapore https www swarmapp comc3v3ciuyhq4k,point
nice,7.93E+17,a nice smell of curry  little india https www instagram compbml9vnmgfva,PA
,7.92E+17,all i can smell is chanel  bvlgari  singapore fashion week https www instagram compbmjewwld49j,
,7.92E+17,"can you what the is     woodlands singapore https www instagram compbmimz ehhjl",
indian food,7.92E+17,aaaah deepavali is here i smell the indian food already  komalas villas https www instagram compbmdsltehtf7,neighborhood
sugars,7.90E+17,brew day today mumm smell those fermentable sugars smell them  loyang valley https www instagram compbl2ah4qlkw,neighborhood
incense,7.86E+17,i can still smell the incense  kwan im thong hood cho temple https www instagram compblayhl1gjydufzqgynwjktqqfic7cz 9pw8 2g0,point
home,7.85E+17,smell of home  rochor centre https www instagram compblyetrbh6cb,point
,7.85E+17,i can smell banana in the sauce  exclaims banana phobic sihan as we chomped down on our https www instagram compblvproxhpx5,
haze,7.69E+17,"i can smell haze are you back again   jalan bahar https www instagram compbjjku6oaszxobgtkvseuaejupcrxfhjix3da380",road
guan,7.67E+17,khang guan smell so strong here  https www instagram compbjsi0mobsmvc9qnsbbo6dunjxv0s1i9dtj800,point
,7.65E+17,if you smell what zhafri is smelling  extra virgin pizza https www instagram compbjigepug3go,point
,7.62E+17,i so love the smell of books  second box in line  https www instagram compbiwompiak5va4uvlf vv6smwkjetuubocrryi0,
heaven,7.60E+17,the smell of heaven   bijin nabe  liang court https www instagram compbikmbhpjulb,point
,7.56E+17,bush hush lush gush mush push rush we smell like lush thanks for the laughs kekeke   ion orchard https www instagram compbikpuqua6cr,
miss,7.54E+17,they miss the smell  kranji secondary school https www instagram compbh4grorg6jy,point
sea,7.52E+17,the smell of blue sea   city beach resort https www instagram compbhr38usjzp2hhvqz0mvffh6gd0wimahbewana0,point
,7.48E+17,"hari raya is around the corner you could almost smell the rendang  ketupat from here get a https www instagram compbhoppciagcb",
,7.45E+17,"smell the sea and feel the sky let your soul and sprit fly  ultimateeon  sentosa  https www instagram compbg7jg1drlog",
snake oil,7.45E+17,i smell snake oil  raffles city shopping centre in singapore https www swarmapp comcggmimkvhjbj pic twitter comv94wfjxygh,point
mrt,7.43E+17,i love underground mrt smell agreed  hello kitty cafe at changi airport terminal 3 https www instagram compbgowgpljnw,point
tuna,7.33E+17,why jurong interchange got tuna smell  jurong east mrt interchange ns1ew24 singapore in singapore https www swarmapp comc4obofzirk42,point
roses,7.32E+17,stop and smell the roses   victoria concert hall https www instagram compbfdec 4cib5,point
gas,7.30E+17,odd smell of gas leak coming from the mrt carriage   holland village mrt station cc21 singapore https www swarmapp comcc2qdmbsvdav,mrt
,7.29E+17,starting the sommelier career early   alan seafood singapore https www instagram compbfgxqjluz7w,
bbq,7.21E+17,smell of bbq teringat aku bbq hari itu  pasir ris park in singapore https www swarmapp comcjwgcxgegzc6,point
,7.15E+17,"breezy walk faint smell of the sea adds up to make my day better  woodlands waterfront https www instagram compbdm0ryrhquq",point
stinky,7.11E+17,longkang fishing is so sanitized nowadays no more muddy feet stinky smell or pesky insects  https www instagram compbdiy4sqqntz,
,7.11E+17,smell it  kith cafe  park mall https www instagram compbdixw2fspzz,point
durian,7.10E+17,smell the durian  chinatown singapore https www instagram compbda2 0rvi9e,PA
home,7.05E+17,the smell of home   newton edge in singapore https www swarmapp comc8r0tbneyl4t,neighborhood
gongcha,7.02E+17,i smell gongcha  white sands shopping centre in singapore https www swarmapp comc8cihzra4ozf,point
home,7.02E+17,i smell home  pasir ris mrt station ew1 singapore in singapore https www swarmapp comcbcsmqmhxc7d,mrt
hotel,7.01E+17,love the smell of this hotel the room is huge  parkroyal on beach road in singapore https www swarmapp comcfyfxipwadxb pic twitter com5filutubys,point
,7.00E+17,we can already smell the finishing line   nanyang polytechnic https www instagram compbb4zebrvywy,point
island siol ,6.95E+17,i smell island siol  yishun st 72 singapore https www instagram compbby5iy6mo05,neighborhood
money,6.95E+17,i smell luck and money is coming  marina bay sands casino in singapore https www swarmapp comcfil1gjbtb6w,point
,6.94E+17,danggit was our viand scented candles to remove the smell  casa de aloba https www instagram compbbnb5bgymev,
lilies,6.94E+17,ahhhhh the smell of lilies  fajar hills https www instagram compbbmvergor6e,neighborhood
rojak,6.90E+17,i smell like some rojak perks of waking up late  ite college east in singapore https www swarmapp comcche9v0unc1x,point
,6.89E+17,pcb the smell last warning  golden mile complex in singapore https www swarmapp comc1zyuhbfjxci,point
i,6.78E+17,"ox approves i smell good   japanese garden singapore https www instagram compat flvswi",point
,6.77E+17,i smell  vivocity https www instagram compvmj5r40w,point
books,6.76E+17,the smell of new books  books kinokuniya  in singapore https www swarmapp comc4xaekw8wqka,point
,6.74E+17,smell the sea and feel the sky let ur soul and spirit fly van morrison  pasir ris beach https www instagram compcfqjpc cd,point
amazing,6.73E+17,amazing smell christmas bouquet in office  acronis singapore https www instagram comp 3p6rjpp7g,point
,6.70E+17,i can only sniff you for now you smell delicious by the way  brewerkz https instagram comp ltuq8ors8,point
,6.70E+17,ye ye take time to smell the coffee  gaylang rd singapore https instagram comp gnsxjkmdn,PA
hoilday,6.68E+17,i smell holidays yes it is official  shami banana https instagram comp ss9hvkykhrnbzt6iaicrmn8arpm7b72whfl40,point
,6.63E+17,drying drying drying the smell damn strong  yoogane singapore https instagram comp90jjpnsrqo,point
ambition,6.63E+17,i love the smell of fresh ambition in the morning   sims avenue https instagram comp9zu1miy6mm,road
coffee,6.63E+17,love the smell of coffee in the morning  coast and company https instagram comp9xlgxtpupb,point
christmas,6.63E+17,"that red cup i can smell christmas already   starbucks singapore https instagram comp9vfyv9evoa",point
chemical,6.62E+17,strong chemical smell in the air here over so now  tampines central park https instagram comp9oi41urapz,point
fishy,6.61E+17,i smell something fishy   manhatten fish market  marina square https instagram comp9ijanvybwa,point
,6.59E+17,home sweet home mad tired and sticky anyone wanna smell me hehe  ang mo kio ave 4 blk 612 https www swarmapp comc9yicwr0bu76,neighborhood
,6.57E+17,why do you smell so nice   treehouse villas https instagram comp9hwwfjv1u3,
,6.57E+17,all my classmates smell my delicious food  teppei syokudo https instagram comp9gwqioypv8,
bakery,6.56E+17,my head turns to the smell of  tiong bahru bakery  https instagram comp9cysxkf271,point
,6.52E+17,smell like gin spirit  foc restaurant https instagram comp8nt1lhk1sl,point
,6.51E+17,yikes the smell  and the   transcab shd9336g in singapore https www swarmapp comc4gwbb6i5u3l,
,6.50E+17,they smell so good that i cannot wait to get home  queensland https instagram comp8tq5kmpths,
baby,6.48E+17,baby is just tooo irresistible smell of heaven  bedok north https instagram comp8haqubfsv,PA
haze,6.46E+17,haze so bad you can smell it in the air cough singapore  marina coastal expressway mce https instagram comp77wsiyk6za,road
,6.46E+17,dont worry guys you did smell awesome   national stadium singapore https instagram comp72i6dehyzm,
,6.44E+17,im sorry but i cant smell your bullshit behind this mask  f1 village zone 1 https instagram comp7okhars98i,
soot,6.43E+17,now i cant even see sentosa from keppel can even smell the soot indoor  marina at https instagram comp7m3j2iunpd,
weekend,6.42E+17,the smell of weekend   orchard road in singapore https www swarmapp comclkwxlw54zg7,road
sea,6.38E+17,the smell of freedom and sea water   lazarus island https instagram comp69xqxwqn0z,island
freedom,6.37E+17,i smell freedom  nanyang polytechnic https instagram comp62vi5yrbs1,point
,6.35E+17,spent my saturday   the smell of  that jazzy with my comfy  starbucks singapore https instagram comp6rlgkdrcid,point
,6.33E+17,youre the smell before the rain youre the blood in my veins  mount https instagram comp6grbcok5o34ihhodroq7mpugnvpk1ourmj5p80,
,6.27E+17,can you smell what i smell freshly baked pain au levain at baker  cook  https instagram comp5zyy5ppb3 ,
,6.22E+17,can you smell what is cooking  waterbank  dakota https instagram comp5pnuindbxs,point
jelly,6.21E+17,whats that in the air is that jelly i smell  maison ikkoku https instagram comp5lfcu1psdr,point
sugar,6.21E+17,edible art 107 108 the smell of sugar is overwhelming  sweet surprises  orchard central https www swarmapp comcd8xe2fju9lm,point
,6.20E+17,i hate this smell at starbucks reserve store  https path comp13dcfs,point
fishy,6.20E+17,i smell something fishy   fish n co  vivocity https instagram comp49wxyyivc ,point
weekends,6.19E+17,the smell of the weekends thank god its friday mala pot lunch  ngee ann polytechnic https instagram comp48lfo1apge,point
,6.19E+17,ahh the smell of the new shirt   noob sv ftw  4 little road https instagram comp45cky xlgz,
orchard ,6.19E+17,the smell of orchard  orchard mrt station ns22 singapore in singapore https www swarmapp comc025ep2b76lx,mrt
experience,6.17E+17,pop lo memorable experience the smell was great   floating platform  marina bay https instagram comp4sr0ixsuij,point
rain,6.17E+17,so this is what rainy saturday mornings  2k insta posts feels like mmm that yummy smell of rain  https instagram comp4sxarvspq,
,6.16E+17,is this the smell of unicorns fart  lush singapore https instagram comp4jievrmvuf,
,6.16E+17,if only i had smell o vision  kovan 209 market  food centre https instagram comp4h7zq5cwqq,point
,6.14E+17,a little candle lit night  falling asleep to the smell of the blue summer sky  yankee candle https instagram comp4umqxoidv6,
sea,6.11E+17,smell the sea feel the sky let your soul and spirit fly   tanjong beach club https instagram comp4erer1nc99,point
hypnotizing,6.09E+17,the smell is hypnotizing  mavrx coffee apothecary in singapore https www swarmapp comcffrqd6bq2qx,point
weekend,6.06E+17,i smell th weekend soon so very closeeeeee   300515 https instagram comp3gw89fnpwo,
dimsum,6.06E+17,the smell of dimsum getting stronger  stronger as my short lil break gets closer  closer   https instagram comp3cvat2wjri,
new,6.03E+17,very cozy room everything feels and smell new i like  carlton city https instagram comp3hb89xdyb9,point
baby,6.02E+17,loves the baby smell congrats joparis and ed on no 2  thomson medical https instagram comp3dq7ocve30,point
cigarettes,5.99E+17,saw baby khalish at tanjong beach manage to hug this fella but i swear he smell of cigarettes  what have u been doing khalish,point
,5.98E+17,kinda therapeutic not when you have to smell this scent for 8 hours straight   suntec city tower 2 https instagram comp2ig8ppp ,point
coffee,5.95E+17,fresh smell of coffee on sunday mornings   parkland green east coast park singapore https instagram comp2nbzxxtf4h,point
,5.94E+17,smell so good  yong he eating house  in singapore https www swarmapp comchqt5x4f6ave,
jasmin,5.93E+17,the smell of jasmin  in little india pic twitter comnaxtzoevn9,PA
freedom,5.93E+17,2 down 2 to go i can almost smell freedom   nanyang technological https instagram comp2dgjaoox36,point
adventure,5.93E+17,i smell adventure  suntec singapore convention  exhibition centre https instagram comp2cw89nujy3,point
chocolate ,5.91E+17,omg the smell of chocolate  matts the chocolate shop in singapore https www swarmapp comci3ypfyd60cd,point
bah kut the,5.90E+17,i smell delicious bah kut teh but cant find out where it is from  paya lebar square https www swarmapp comc47f5yxzxmzj,point
,5.90E+17,i love the smell of holland village shopping centre,PA
,5.89E+17,i smell nenek making kuih from upstairs  oh and btw im crashing your bed   towner road https instagram comp1ktronnnqw,road
flowers,5.89E+17,lifes a walk in the park stop  smell the flowers   park at holland village https instagram comp1ihvu2mcq,point
,5.88E+17,"smell the lalang feel the lalang be the lalangkita jadi belalang sudah la eh lele  https instagram comp1fmtj5iy7a",
liquors,5.88E+17,i smell liquors   clarke quay https instagram comp1dew7ksjid,point
summer,5.83E+17,"just the smell of the summer can make me fall in love   mambo beach club singapore https instagram comp07pexps2vk",point
flowers,5.79E+17,wake up and smell the flowers  sengkang riverside park https instagram comp0eh1ygogjf,point
nostalgic,5.77E+17,the smell fucking nostalgic  raffles hospital in singapore https www swarmapp comckuauf4jhcjv,point
taxi,5.70E+17,wtf hate taxi smell  cigg  idek what smell,n
store ,5.65E+17,why does the lift lobby smell exactly like an abercrombie  fitch store yuck  asia square tower 2 https www swarmapp comcg0fjdneis8u,point
,5.64E+17,i can smell the happiness of my life   garden by the bay  marina bay sands http instagram compy0uwcfu b,point
,5.64E+17,this mornings pole haul i smell on the way  golden mile complex http instagram compyyjkwuosje,point
,5.64E+17, canada makes some of their currencies smell like maple syrup https twitter comwhattheffactsstatus563857218257551360photo1 pic twitter com79tjvmevjm what a time to be alive,
place,5.64E+17,second location i love the smell of this place  queensway shopping centre in singapore https www swarmapp comcfbamswu5sed,point
books,5.62E+17,how can i not soak in so books smell while i have time to buy about  books kinokuniya  in singapore https www swarmapp comc3cqkyepd4vg,point
Friday,5.61E+17,yay smell friday  koi sushi  izakaya http instagram compyfb iswb2x,point
,5.60E+17, beibei y u smell your pee ,
you,5.60E+17, ehhhh okok you smell nicer than me  bustard sia bully me ,
,5.59E+17,i am back feels like home the all familiar smell of weights  california fitness  https www swarmapp comcjsd9wp8tenr,point
block,5.56E+17,ill miss the smell of this block jurong west st42,neighborhood
,5.56E+17, nie aiza cham nak kena ahdush betul lah dlm  dina wake up girl and smell the right roses ,
,5.55E+17,gala premiere of were so near the stage we can smell the kitty litter  thank heaps http instagram compxyyv vm7cw,
guys,5.54E+17,the smell of dreamy guys  at abercrombie  fitch  https path comp1ipi3r,point
,5.53E+17, boyfriends hoodies that smell like their cologne are the best things in the world am i right ladies,
,5.51E+17,i told kakak that i smell pacai abih dia suruh aku diam  abih mak bilang that i smell pacai  ,
,5.48E+17,love the smell thanks   merry christmas   http instagram compxbut6zke2u,
,5.48E+17,can you smell  grand hyatt singapore http instagram compw h9iolebk,
,5.46E+17,xhopelessx is ok smell my fart 33,
,5.46E+17,"smell fresh after gym done for today  bukit batok hometeamns clubhouse http instagram compwyivzvcvv6",point
bugis,5.44E+17,smell of bugis reminds me of 2 years ago ,
,5.43E+17, barclay did your fart smell  ,
,5.42E+17,a rose by any other name would smell as sweet  louise 21st http instagram compwt820waip7,
hoilday,5.41E+17,she can smell holiday in a few hours time  ngee ann polytechnic http instagram compwnaxsdbbie,point
car,5.37E+17, the new mrt station at marina south pier has that new car smell oh wait no ,point
,5.37E+17,  mns kannn i think i can smell then from here chey haha,
,5.33E+17, kang i smell mad,
happiness,5.28E+17,i can smell happiness  airadii  sri veeramakaliamman temple singapore http instagram compuw0t4wehjf,point
,5.28E+17,may bayad ang touch at smell lol airadii  sri veeramakaliamman temple singapore http instagram compuwz0y6ehh,point
medical,5.27E+17,the smell of camden medical centre evokes old memories working here many years ago ,point
,5.26E+17,"ice cream mao wang good  nex singapore http instagram compumynjzipxe",point
paint,5.25E+17,library at orchard gateway opens today its so new you can actually smell the paint pic twitter comeiwifrham5,point
bygon,5.24E+17,bygon smell is super strong when i opened my house door ,point
,5.24E+17, yaaa i still can smell from here heheheh  bau babyyyy ,
chicken,5.24E+17,studying in the midst of the smell of chicken and fries  greenridge shopping centre http instagram compuvx6ehe17o,point
coffees,5.22E+17,starbucks coffees smell auhmmm ,point
herby,5.20E+17,new bakery at tampines 1 would really like to try as the herby smell from the store is https www swarmapp comc0w4abb6f5td pic twitter comtv2nfmktan,PA
sudden,5.19E+17,sudden smell of rendang hahahah,
,5.16E+17,we smell like   macdonalds  bukit panjang plaza http instagram comptd0hr1lm16,point
petrol,5.13E+17,heaps of motor heads and crew from all over in suntec  marina bay today for the f1 you can almost smell the petrol ,point
,5.12E+17,fish n century egg porridge top with char kway thx om simon i smell a trap haha  bedok mall http instagram comptabhkoam3i,PA
weird,5.10E+17,bugis and somerset stations have this weird smell ,mrt
mall,5.10E+17,ahhh the smell of a proper mall   orchard road in singapore https www swarmapp compamtan7checkin54102857498e7afde066365f s eclskxtscic3fmmvg0vt7rx5q7yref tw,road
,5.09E+17,korean bbq is love except the smell on clothes that lingers  daessiksin korean grill bbq buffet http instagram compsthdogq2ui,point
,5.08E+17,"smell the cheese  punchsmell the cheese  punchcmon smell it  punch mikey the troll  ",
